layer_idx,sketch_dim,theta_elim,elimination_rate_mean,elimination_rate_std,resurrection_rate_mean,resurrection_rate_std,false_elimination_rate_mean,false_elimination_rate_std,top8_overlap_mean,top8_overlap_std,top16_overlap_mean,top16_overlap_std,top32_overlap_mean,top32_overlap_std,rank_correlation_mean,rank_correlation_std,eliminated_count,false_eliminated_count,total_tokens,survivor_count,relevant_count,num_samples
3,32,0.2,0.769825,0.28066,0.230175,0.28066,0.66276,0.348645,0.614583,0.180121,0.68316,0.133937,0.799045,0.081328,0.936475,0.032149,3470,1527,4512,1042,2304,72
3,32,0.25,0.769825,0.28066,0.230175,0.28066,0.66276,0.348645,0.614583,0.180121,0.68316,0.133937,0.799045,0.081328,0.936475,0.032149,3470,1527,4512,1042,2304,72
3,32,0.3,0.770039,0.280114,0.229961,0.280114,0.663194,0.347838,0.614583,0.180121,0.68316,0.133937,0.799045,0.081328,0.936475,0.032149,3471,1528,4512,1041,2304,72
3,32,0.35,0.770278,0.279964,0.229722,0.279964,0.663194,0.347838,0.614583,0.180121,0.68316,0.133937,0.799045,0.081328,0.936475,0.032149,3472,1528,4512,1040,2304,72
3,32,0.4,0.770278,0.279964,0.229722,0.279964,0.663194,0.347838,0.614583,0.180121,0.68316,0.133937,0.799045,0.081328,0.936475,0.032149,3472,1528,4512,1040,2304,72
3,32,0.45,0.770278,0.279964,0.229722,0.279964,0.663194,0.347838,0.614583,0.180121,0.68316,0.133937,0.799045,0.081328,0.936475,0.032149,3472,1528,4512,1040,2304,72
3,32,0.5,0.770278,0.279964,0.229722,0.279964,0.663194,0.347838,0.614583,0.180121,0.68316,0.133937,0.799045,0.081328,0.936475,0.032149,3472,1528,4512,1040,2304,72
3,32,0.55,0.770278,0.279964,0.229722,0.279964,0.663194,0.347838,0.614583,0.180121,0.68316,0.133937,0.799045,0.081328,0.936475,0.032149,3472,1528,4512,1040,2304,72
3,32,0.6,0.770278,0.279964,0.229722,0.279964,0.663194,0.347838,0.614583,0.180121,0.68316,0.133937,0.799045,0.081328,0.936475,0.032149,3472,1528,4512,1040,2304,72
3,32,0.65,0.770278,0.279964,0.229722,0.279964,0.663194,0.347838,0.614583,0.180121,0.68316,0.133937,0.799045,0.081328,0.936475,0.032149,3472,1528,4512,1040,2304,72
3,32,0.7,0.770278,0.279964,0.229722,0.279964,0.663194,0.347838,0.614583,0.180121,0.68316,0.133937,0.799045,0.081328,0.936475,0.032149,3472,1528,4512,1040,2304,72
3,32,0.75,0.770278,0.279964,0.229722,0.279964,0.663194,0.347838,0.614583,0.180121,0.68316,0.133937,0.799045,0.081328,0.936475,0.032149,3472,1528,4512,1040,2304,72
3,32,0.8,0.770278,0.279964,0.229722,0.279964,0.663194,0.347838,0.614583,0.180121,0.68316,0.133937,0.799045,0.081328,0.936475,0.032149,3472,1528,4512,1040,2304,72
3,32,0.85,0.770531,0.279933,0.229469,0.279933,0.663628,0.347771,0.614583,0.180121,0.68316,0.133937,0.799045,0.081328,0.936475,0.032149,3473,1529,4512,1039,2304,72
3,32,0.9,0.770531,0.279933,0.229469,0.279933,0.663628,0.347771,0.614583,0.180121,0.68316,0.133937,0.799045,0.081328,0.936475,0.032149,3473,1529,4512,1039,2304,72
3,32,0.95,0.770531,0.279933,0.229469,0.279933,0.663628,0.347771,0.614583,0.180121,0.68316,0.133937,0.799045,0.081328,0.936475,0.032149,3473,1529,4512,1039,2304,72
3,64,0.05,0.776622,0.275539,0.223378,0.275539,0.665799,0.347425,0.659722,0.168251,0.734375,0.135717,0.826389,0.071011,0.954346,0.027893,3506,1534,4512,1006,2304,72
3,64,0.1,0.776622,0.275539,0.223378,0.275539,0.665799,0.347425,0.659722,0.168251,0.734375,0.135717,0.826389,0.071011,0.954346,0.027893,3506,1534,4512,1006,2304,72
